Sl. No.,Category,State/UT,Male,Female,Transgender,Total
1,State,Andhra Pradesh,4740,1725,0,139123
2,State,Arunachal Pradesh,81,31,0,135651
3,State,Assam,1679,691,0,18916
4,State,Bihar,395,246,0,13493
5,State,Chhattisgarh,5520,2109,0,12665
6,State,Goa,201,58,0,12457
7,State,Gujarat,5168,2486,1,11288
8,State,Haryana,3297,894,0,8556
9,State,Himachal Pradesh,377,207,0,7675
10,State,Jammu & Kashmir,157,127,0,7655
11,State,Jharkhand,1066,580,0,7629
12,State,Karnataka,8413,2873,2,6465
13,State,Kerala,6668,1888,0,5464
14,State,Madhya Pradesh,8107,4348,2,4582
15,State,Maharashtra,14466,4448,2,4531
16,State,Manipur,36,22,0,4191
17,State,Meghalaya,165,33,0,3472
18,State,Mizoram,54,16,0,2526
19,State,Nagaland,36,5,0,2370
20,State,Odisha,2596,1986,0,2357
21,State,Punjab,1817,539,1,1646
22,State,Rajasthan,3302,1229,0,728
23,State,Sikkim,162,58,0,641
24,State,Tamil Nadu,9235,4250,8,584
25,State,Telangana,5612,2062,1,516
26,State,Tripura,496,232,0,493
27,State,Uttar Pradesh,3233,2231,0,284
28,State,Uttarakhand,335,181,0,259
29,State,West Bengal,7769,4896,0,220
Total (States),State,Total (States),95183,40451,17,198
30,UT,Andaman & Nicobar Islands,130,51,0,181
31,UT,Chandigarh,93,38,0,131
32,UT,Dadra & Nagar Haveli,72,23,0,112
33,UT,Daman & Diu,29,17,0,95
34,UT,Delhi,1758,768,0,70
35,UT,Lakshadweep,0,0,0,58
36,UT,Puducherry,348,145,0,46
Total (UTs),UT,Total (UTs),2430,1042,0,41
Total (All-India),Total (All-India),Total (All-India),97613,41493,17,0
