Entity,avg_rate,HDI_rank_2021,HDI_Value,Life_expectancy,Expected_years_of_schooling,Mean_years_of_schooling,GNI_per_capita,GNI_rank_minus_HDI_rank,HDI_rank_2020,Development status
Lesotho,44.66,168,0.514,53.062,12.04087801,6.010184707,2700.435748,-2,168,LOW HUMAN DEVELOPMENT
Guyana,36.07,108,0.714,65.6734,12.50272216,8.617477,22464.65734,-47,107,HIGH HUMAN DEVELOPMENT
Lithuania,28.94,35,0.875,73.7201,16.28506088,13.49810028,37931.30359,5,34,VERY HIGH HUMAN DEVELOPMENT
Kiribati,27.56,136,0.624,67.4172,11.801993,7.984461822,4062.586034,14,137,MEDIUM HUMAN DEVELOPMENT
Eswatini (Kingdom of),26.93,144,0.597,57.0657,13.74434586,5.596,7678.591873,-21,141,MEDIUM HUMAN DEVELOPMENT
Kazakhstan,26.64,56,0.811,69.3622,15.76500034,12.34756189,23942.81837,1,59,VERY HIGH HUMAN DEVELOPMENT
Russian Federation,25.98,52,0.822,69.419,15.76636982,12.77428805,27166.30891,-1,49,VERY HIGH HUMAN DEVELOPMENT
Solomon Islands,25.42,155,0.564,70.3477,10.32869027,5.711848,2481.511362,13,155,MEDIUM HUMAN DEVELOPMENT
Suriname,24.7,99,0.73,70.2743,13.03564357,9.77680063,12672.20033,-6,92,HIGH HUMAN DEVELOPMENT
Zimbabwe,24.49,146,0.593,59.2531,12.11096904,8.710908501,3809.887158,9,145,MEDIUM HUMAN DEVELOPMENT
Ukraine,23.43,77,0.773,71.624,14.95656854,11.13142043,13255.50977,11,78,HIGH HUMAN DEVELOPMENT
Micronesia (Federated States of),23.41,134,0.628,70.71,11.54947988,7.804956,3696.173945,22,136,MEDIUM HUMAN DEVELOPMENT
Marshall Islands,22.75,131,0.639,65.2688,10.2393198,10.88313961,4619.535393,12,131,MEDIUM HUMAN DEVELOPMENT
Belarus,21.78,60,0.808,72.438,15.16996956,12.14358044,18848.96704,8,60,VERY HIGH HUMAN DEVELOPMENT
Botswana,20.78,117,0.693,61.1409,12.26513765,10.34,16198.31841,-43,110,HIGH HUMAN DEVELOPMENT
Central African Republic,20.29,188,0.404,53.8947,8.040171714,4.334,966.0586107,1,188,LOW HUMAN DEVELOPMENT
Vanuatu,19.83,140,0.607,70.449,11.53531503,7.064846,3085.411633,23,142,MEDIUM HUMAN DEVELOPMENT
Sri Lanka,19.35,73,0.782,76.3991,14.13990486,10.82730007,12578.22055,21,75,HIGH HUMAN DEVELOPMENT
Mongolia,18.41,96,0.739,70.9754,14.98034954,9.423700333,10588.22532,9,90,HIGH HUMAN DEVELOPMENT
Uruguay,17.2,58,0.809,75.4356,16.83259964,8.982549667,21268.88122,5,55,VERY HIGH HUMAN DEVELOPMENT
Latvia,16.98,39,0.863,73.5786,16.20252991,13.25271988,32803.23423,4,37,VERY HIGH HUMAN DEVELOPMENT
Tuvalu,16.63,130,0.641,64.5466,9.40443,10.57310772,6351.435899,-2,131,MEDIUM HUMAN DEVELOPMENT
Mozambique,16.57,185,0.446,59.3247,10.2191516,3.197641838,1198.073924,2,184,LOW HUMAN DEVELOPMENT
Cabo Verde,16.53,128,0.662,74.0518,12.55461444,6.287719287,6230.200199,2,127,MEDIUM HUMAN DEVELOPMENT
Guinea-Bissau,15.88,177,0.483,59.6523,10.61306278,3.583719,1908.24159,0,177,LOW HUMAN DEVELOPMENT
Belgium,15.87,13,0.937,81.8787,19.60421944,12.37567997,52293.399770000004,7,16,VERY HIGH HUMAN DEVELOPMENT
Japan,15.86,19,0.925,84.7839,15.22162588,13.36610034,42274.29134,12,19,VERY HIGH HUMAN DEVELOPMENT
Hungary,15.48,46,0.846,74.5301,15.0336281,12.24958992,32789.01063,-2,44,VERY HIGH HUMAN DEVELOPMENT
Montenegro,15.03,49,0.832,76.3426,15.08160973,12.17648306,20838.80129,16,52,VERY HIGH HUMAN DEVELOPMENT
Slovenia,14.86,23,0.918,80.6904,17.65492058,12.80368042,39746.01987,10,23,VERY HIGH HUMAN DEVELOPMENT
Poland,14.84,34,0.876,76.4572,16.0271492,13.1647501,33033.96081,8,36,VERY HIGH HUMAN DEVELOPMENT
Zambia,14.8,154,0.565,61.2234,10.92876021,7.187091494,3217.767739,7,154,MEDIUM HUMAN DEVELOPMENT
India,14.64,132,0.633,67.2398,11.87462044,6.655109195,6589.980037,-6,130,MEDIUM HUMAN DEVELOPMENT
Eritrea,14.63,176,0.492,66.5358,8.064524628,4.8872352,1728.742667,3,176,LOW HUMAN DEVELOPMENT
Côte d'Ivoire,14.4,159,0.55,58.5983,10.67558002,5.199138977,5217.448516,-22,159,LOW HUMAN DEVELOPMENT
Cameroon,14.33,151,0.576,60.3334,13.10859922,6.15131,3620.932408,6,150,MEDIUM HUMAN DEVELOPMENT
South Africa,14.15,109,0.713,62.341,13.64371014,11.37316036,12948.37325,-17,102,HIGH HUMAN DEVELOPMENT
Gabon,13.89,112,0.706,65.821,12.97731,9.436,13366.93455,-25,113,HIGH HUMAN DEVELOPMENT
Namibia,13.71,139,0.615,59.269,11.92720692,7.192013277,8633.504452,-23,134,MEDIUM HUMAN DEVELOPMENT
Finland,13.68,11,0.94,82.0381,19.05192947,12.87362003,49452.16672,11,12,VERY HIGH HUMAN DEVELOPMENT
Serbia,13.56,63,0.802,74.1923,14.40009022,11.36987019,19123.02747,4,62,VERY HIGH HUMAN DEVELOPMENT
France,13.55,28,0.903,82.4988,15.81206989,11.61005974,45937.05273,-2,28,VERY HIGH HUMAN DEVELOPMENT
Palau,13.54,80,0.767,66.0204,15.78432,12.49143,13818.67869,5,80,HIGH HUMAN DEVELOPMENT
Estonia,13.23,31,0.89,77.1436,15.92895985,13.54843044,38048.26372,8,30,VERY HIGH HUMAN DEVELOPMENT
Burundi,12.96,187,0.426,61.6627,10.72272189,3.129266883,731.7867086,4,187,LOW HUMAN DEVELOPMENT
Burkina Faso,12.89,184,0.449,59.2696,9.142100334,2.114962259,2117.915916,-8,185,LOW HUMAN DEVELOPMENT
Angola,12.78,148,0.586,61.6434,12.1721,5.417390823,5465.617791,-14,149,MEDIUM HUMAN DEVELOPMENT
Nepal,12.76,143,0.602,68.4495,12.88694954,5.121792742,3877.315444,10,144,MEDIUM HUMAN DEVELOPMENT
Congo,12.71,153,0.571,63.5187,12.33081527,6.166,2889.283521,11,153,MEDIUM HUMAN DEVELOPMENT
Togo,12.48,162,0.539,61.6194,12.95049378,5.016807367,2166.619062,12,163,LOW HUMAN DEVELOPMENT
Malawi,12.43,169,0.512,62.9044,12.67898523,4.489695385,1465.635064,13,169,LOW HUMAN DEVELOPMENT
Senegal,12.42,170,0.511,67.0926,8.963749886,2.937938258,3344.311825,-10,170,LOW HUMAN DEVELOPMENT
Congo (Democratic Republic of the),12.27,179,0.479,59.193,9.817864451,7.018696516,1076.098781,9,180,LOW HUMAN DEVELOPMENT
United States,12.05,21,0.921,77.1982,16.28097916,13.68342972,64765.21509,-14,21,VERY HIGH HUMAN DEVELOPMENT
Austria,11.94,25,0.916,81.5797,16.00795937,12.25669003,53618.67138,-8,23,VERY HIGH HUMAN DEVELOPMENT
Croatia,11.88,40,0.858,77.5804,15.11209965,12.19108434,30132.28814,8,41,VERY HIGH HUMAN DEVELOPMENT
Czechia,11.75,32,0.889,77.7283,16.21968079,12.86931038,38745.21386,4,30,VERY HIGH HUMAN DEVELOPMENT
Guinea,11.59,182,0.465,58.8922,9.805297465,2.202125952,2480.887182,-13,182,LOW HUMAN DEVELOPMENT
Sweden,11.54,7,0.947,82.9833,19.41852951,12.60972023,54489.37401,9,9,VERY HIGH HUMAN DEVELOPMENT
Benin,11.52,166,0.525,59.821,10.76667976,4.304786445,3408.965923,-7,166,LOW HUMAN DEVELOPMENT
Kenya,11.45,152,0.575,61.427,10.69855835,6.652,4473.570344,-6,150,MEDIUM HUMAN DEVELOPMENT
Uzbekistan,11.41,101,0.727,70.8616,12.47714043,11.89558983,7916.785725,18,107,HIGH HUMAN DEVELOPMENT
Uganda,11.34,166,0.525,62.7048,10.14986994,5.730941566,2181.43651,6,166,LOW HUMAN DEVELOPMENT
Canada,11.34,15,0.936,82.6565,16.39625931,13.83442722,46807.98619,9,15,VERY HIGH HUMAN DEVELOPMENT
Cuba,11.09,83,0.764,73.6829,14.44305992,12.49773438,7878.847482,37,73,HIGH HUMAN DEVELOPMENT
New Zealand,11.06,13,0.937,82.4513,20.28388977,12.94468975,44057.31394,16,13,VERY HIGH HUMAN DEVELOPMENT
Ethiopia,11.05,175,0.498,64.9748,9.651071421,3.201520681,2361.069604,-5,175,LOW HUMAN DEVELOPMENT
Australia,10.79,5,0.951,84.5265,21.05459023,12.72681999,49238.43335,18,5,VERY HIGH HUMAN DEVELOPMENT
Slovakia,10.79,45,0.848,74.9101,14.51303959,12.91141987,30690.48552,1,40,VERY HIGH HUMAN DEVELOPMENT
Bulgaria,10.74,68,0.795,71.798,13.89729023,11.41318035,23078.95595,-8,64,HIGH HUMAN DEVELOPMENT
Argentina,10.6,47,0.842,75.3899,17.8748703,11.14726927,20925.26814,17,47,VERY HIGH HUMAN DEVELOPMENT
Ghana,10.4,133,0.632,63.7954,12.04778004,8.329886695,5744.504017,-2,135,MEDIUM HUMAN DEVELOPMENT
Switzerland,10.34,1,0.962,83.9872,16.50029945,13.85966015,66933.00454,5,3,VERY HIGH HUMAN DEVELOPMENT
Samoa,10.31,111,0.707,72.7675,12.41885948,11.4038,5307.953374,24,112,HIGH HUMAN DEVELOPMENT
Chile,10.27,42,0.855,78.9435,16.73130035,10.9349663,24563.24486,14,43,VERY HIGH HUMAN DEVELOPMENT
Korea (Republic of),10.18,19,0.925,83.6978,16.52173996,12.51293027,44500.93187,9,20,VERY HIGH HUMAN DEVELOPMENT
Madagascar,10.17,173,0.501,64.4853,10.13499142,5.120468534,1483.520983,8,173,LOW HUMAN DEVELOPMENT
Trinidad and Tobago,10.16,57,0.81,72.9709,14.535452920000001,11.61062419,23392.02084,1,56,VERY HIGH HUMAN DEVELOPMENT
Sierra Leone,10.08,181,0.477,60.0624,9.57339109,4.576081285,1621.512579,-1,181,LOW HUMAN DEVELOPMENT
Equatorial Guinea,9.95,145,0.596,60.5943,9.73494,5.910863,12073.95993,-47,147,MEDIUM HUMAN DEVELOPMENT
Haiti,9.87,163,0.535,63.1924,9.7,5.554,2847.500746,2,162,LOW HUMAN DEVELOPMENT
Fiji,9.83,99,0.73,67.114,14.73679,10.92154799,9980.110866,9,94,HIGH HUMAN DEVELOPMENT
Ecuador,9.75,95,0.74,73.67,14.62423038,8.817119598,10311.63273,11,99,HIGH HUMAN DEVELOPMENT
Ireland,9.74,8,0.945,81.9976,18.94522095,11.58222303,76168.98443,-3,8,VERY HIGH HUMAN DEVELOPMENT
Germany,9.62,9,0.942,80.6301,17.01013947,14.09096691,54534.21682,6,7,VERY HIGH HUMAN DEVELOPMENT
Djibouti,9.62,171,0.509,62.3049,7.43298,4.1,5024.993944,-32,171,LOW HUMAN DEVELOPMENT
Rwanda,9.56,165,0.534,66.0722,11.23097038,4.425292358,2209.795202,6,165,LOW HUMAN DEVELOPMENT
Norway,9.54,2,0.961,83.2339,18.18519974,13.00362968,64660.10622,6,1,VERY HIGH HUMAN DEVELOPMENT
Liberia,9.54,178,0.481,60.7472,10.42078972,5.082,1288.74235,7,179,LOW HUMAN DEVELOPMENT
Gambia,9.45,174,0.5,62.083,9.418626299,4.637487411,2172.207664,-1,173,LOW HUMAN DEVELOPMENT
Romania,9.37,53,0.821,74.1847,14.22990036,11.27511978,30027.29131,-4,53,VERY HIGH HUMAN DEVELOPMENT
