Police reserve levels as at March 2013,,,,
,,,,
PCC,31-Mar-13,,,
,£m,,,
,General fund,Earmarked reserves,Total resource reserves ,Capital reserves
Avon & Somerset,13.6,28.7,42.2,1.9
Bedfordshire,3.4,9.6,13.0,0.2
Cambridgeshire,9.2,12.3,21.5,22.6
Cheshire,5.3,8.4,13.7,6.7
Cleveland,7.4,3.4,10.8,0.3
Cumbria,5.1,21.6,26.7,5.0
Derbyshire,3.3,39.8,43.1,7.3
Devon & Cornwall,6.2,43.8,50.0,6.9
Dorset,4.6,5.1,9.8,0.6
Durham,5.9,12.9,18.8,0.0
Dyfed-Powys,4.5,31.5,36.0,1.3
Essex,19.1,2.6,21.7,14.5
Gloucestershire,3.2,27.4,30.6,4.5
Greater Manchester,38.5,16.3,54.8,2.0
Gwent,8.5,30.8,39.3,1.0
Hampshire,14.3,47.6,61.9,0.0
Hertfordshire,6.8,21.2,28.0,20.3
Humberside,5.4,27.6,33.0,0.1
Kent,5.6,24.3,30.0,23.6
Lancashire,9.9,17.6,27.5,5.2
Leicestershire,5.3,22.9,28.2,0.0
Lincolnshire,5.7,8.2,13.9,0.2
Merseyside,9.5,31.1,40.5,0.0
MOPAC,23.5,298.4,321.9,17.0
Norfolk,4.5,30.1,34.6,1.6
North Wales,7.2,31.0,38.2,4.1
North Yorkshire,9.5,25.1,34.6,0.0
Northamptonshire,4.1,11.1,15.3,6.9
Northumbria,21.6,13.3,34.9,0.2
Nottinghamshire,7.1,18.3,25.4,2.0
South Wales,8.2,33.6,41.9,0.0
South Yorkshire,35.8,12.3,48.1,0.0
Staffordshire,5.4,9.3,14.7,0.0
Suffolk,8.2,9.5,17.7,0.1
Surrey,9.4,8.2,17.6,2.6
Sussex,12.2,63.5,75.7,3.4
Thames Valley,15.3,30.5,45.8,17.9
Warwickshire,2.0,28.3,30.3,1.0
West Mercia,8.9,37.2,46.1,1.9
West Midlands,12.0,113.7,125.8,40.7
West Yorkshire,40.9,16.5,57.5,1.3
Wiltshire,4.3,19.3,23.6,0.0
"Total England & Wales
",440.3,"1,304.3","1,744.6",224.6
,,,,
Source: All figures taken from audited PCC Group statements of accounts,,,,
No figures available for City of London Police,,,,
Figures may not sum due to rounding,,,,
"Figures show total PCC usable reserves levels, including reserves held on behalf of others",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
