Police reserve levels as at March 2015,,,,,
,,,,,
PCC,31-Mar-15,,,,
,£m,,,,
,General fund,Earmarked reserves,Total resource reserves ,Capital reserves,
Avon & Somerset,14.4,28.8,43.2,17.0,
Bedfordshire,3.0,14.5,17.5,0.3,
Cambridgeshire,7.2,19.8,27.0,0.7,
Cheshire,5.9,22.4,28.3,8.2,
Cleveland,8.8,5.8,14.7,0.1,
Cumbria,5.1,22.4,27.5,4.7,
Derbyshire,3.3,39.3,42.6,9.8,
Devon & Cornwall,6.2,59.1,65.3,4.8,
Dorset,3.8,8.6,12.5,4.8,
Durham,5.7,11.2,16.8,1.3,
Dyfed-Powys,4.5,40.4,44.9,0.6,
Essex,15.2,5.5,20.7,10.3,
Gloucestershire,6.1,24.2,30.3,2.2,
Greater Manchester,12.5,59.3,71.8,6.5,
Gwent,4.0,40.9,44.9,2.0,
Hampshire,18.7,65.6,84.3,0.0,
Hertfordshire,5.5,42.5,47.9,16.6,
Humberside,5.2,28.2,33.3,0.0,
Kent,5.6,28.7,34.4,25.8,
Lancashire,9.9,39.4,49.3,5.1,
Leicestershire,6.0,22.7,28.7,0.2,
Lincolnshire,5.9,11.1,17.0,0.4,
Merseyside,10.5,31.2,41.6,0.0,
MOPAC,23.5,395.9,419.4,37.2,
Norfolk,4.5,32.7,37.2,0.1,
North Wales,4.2,32.2,36.4,4.6,
North Yorkshire,9.7,22.7,32.4,0.0,
Northamptonshire,6.0,14.9,20.9,0.1,
Northumbria,21.8,5.6,27.4,0.1,
Nottinghamshire,7.1,16.2,23.2,1.7,
South Wales,9.0,24.2,33.3,0.0,
South Yorkshire,16.4,28.4,44.8,0.0,
Staffordshire,6.3,16.4,22.7,0.0,
Suffolk,5.0,11.2,16.2,0.1,
Surrey,12.9,10.3,23.2,12.8,
Sussex,10.8,59.9,70.7,7.9,
Thames Valley,17.6,33.8,51.4,11.9,
Warwickshire,6.0,29.5,35.5,2.8,
West Mercia,13.5,50.4,63.9,7.9,
West Midlands,12.0,141.7,153.8,25.6,
West Yorkshire,26.2,68.6,94.8,7.4,
Wiltshire,3.1,20.7,23.8,0.0,
"Total England & Wales
",388.8,"1,686.8","2,075.6",241.4,
,,,,,
Source: All figures taken from audited PCC Group statements of accounts,,,,,
No figures available for City of London Police,,,,,
Figures may not sum due to rounding,,,,,
"Figures show total PCC usable reserves levels, including reserves held on behalf of others",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
