Police reserve levels as at March 2018,,,,,,,
,,,,,,,
PCC,31-Mar-18,,,,,,
,£m,£m,£m,£m,%,£m,%
,General fund,Earmarked reserves,Total resource reserves ,Capital reserves,Resource reserves as a percentage of funding ,Change since March 2011,% Change since March 2011
Avon & Somerset,10.4,25.3,35.7,0.3,12.70%,3.5,10.80%
Bedfordshire,3,6.5,9.5,0,9.10%,0.1,1.50%
Cambridgeshire,7.2,15.3,22.5,1.9,16.80%,4.4,24.40%
Cheshire,6.3,5,11.3,5.1,6.40%,-6.8,-37.60%
Cleveland,6.1,7.2,13.3,1,10.60%,0.2,1.90%
Cumbria,3,19.9,22.9,7.2,22.20%,0.9,4.20%
Derbyshire,4,20.8,24.8,4.8,14.80%,-10.3,-29.30%
Devon & Cornwall,11.7,38.4,50,3.8,17.20%,21.5,75.40%
Dorset,5,3.8,8.8,1.2,7.00%,-8.9,-50.40%
Durham,5.7,3.1,8.7,9.4,7.60%,-6.8,-43.90%
Dyfed-Powys,4,15.7,19.7,0.8,19.90%,-7,-26.20%
Essex,12.2,7.8,20,1.9,7.30%,-12,-37.50%
Gloucestershire,5.6,16.1,21.7,3.5,19.70%,-0.2,-0.90%
Greater Manchester*,13.9,61.7,75.6,26.7,13.60%,25.2,50.10%
Gwent,14.7,41.3,56,1.7,45.30%,15.9,39.50%
Hampshire,10.9,65,75.9,0,24.20%,38.7,103.80%
Hertfordshire,6,28,34,7.1,18.00%,14.7,75.70%
Humberside,5.2,23.7,28.9,0,16.50%,-5,-14.60%
Kent,8.8,19.3,28.1,0,9.70%,7.5,36.50%
Lancashire,9.3,28.7,37.9,1,14.20%,17.8,88.80%
Leicestershire,6,21.6,27.6,0.5,15.70%,3.8,16.20%
Lincolnshire,5.7,11,16.6,0.6,14.60%,6.1,57.40%
Merseyside,12.2,18.8,31,0,9.90%,0.8,2.70%
MOPAC,46.6,157.5,204.1,0,8.00%,-65.5,-24.30%
Norfolk,4.5,13.9,18.3,0.4,11.90%,-3.6,-16.40%
North Wales,5.2,19.2,24.4,1.5,16.70%,-3.8,-13.50%
North Yorkshire,6.8,4.1,10.9,2.4,7.50%,-17.2,-61.20%
Northamptonshire,3.8,7.9,11.7,0,9.20%,-2.2,-15.90%
Northumbria,9.4,4,13.5,0.3,5.10%,-42.4,-75.90%
Nottinghamshire,7.1,16.9,23.9,3.9,12.30%,7.6,46.70%
South Wales,9.7,22.2,31.9,0,11.80%,-4.8,-13.10%
South Yorkshire,12.3,32.5,44.8,0,18.20%,6.8,18.00%
Staffordshire,2.9,1,3.9,0.3,2.10%,-9.6,-71.30%
Suffolk,3.5,4.3,7.8,0.2,6.80%,-6.7,-45.90%
Surrey,6.1,6.9,13.1,10.4,6.00%,0.3,2.10%
Sussex,10.8,43.5,54.3,0,20.50%,2.6,4.90%
Thames Valley,18.6,26,44.7,19,11.50%,3.3,8.10%
Warwickshire,5,14.2,19.2,0,20.40%,-1.3,-6.20%
West Mercia,10.6,25.8,36.4,0.1,17.70%,4.3,13.40%
West Midlands,12,73.3,85.3,14.5,16.00%,6.2,7.90%
West Yorkshire,15.4,57.3,72.7,11.3,17.40%,42.3,139.40%
Wiltshire,2.7,15.6,18.4,0.5,16.80%,1.7,9.90%
Total England & Wales,369.8,1050.2,1419.9,143.3,12.60%,22.3,1.60%
,,,,,,,
Source: All figures taken from audited PCC Group statements of accounts,,,,,,,
No figures available for City of London Police,,,,,,,
Figures may not sum due to rounding,,,,,,,
"Figures show total PCC usable reserves levels, including reserves held on behalf of others",,,,,,,
Resource reserves as a percentage of funding show reserves as a percentage of 2018-19 direct resource funding (Government grant and precept),,,,,,,
Please note: March 2018 reserves figures are as published in November 2018. Figures may be restated in future statements of accounts.,,,,,,,
