Entity,Code,Year,Trust in police (Eurostat (2015)),Trust in others (Eurostat (2015)),"GDP per capita, PPP (constant 2017 international $)"
Austria,AUT,2013,7.2,5.9,52997.75390625
Belgium,BEL,2013,6.1,5.7,48204.5859375
Czechia,CZE,2013,4.9,5.3,33661.46875
Denmark,DNK,2013,7.9,8.3,51479.265625
Estonia,EST,2013,6,5.8,29525.119140625
Finland,FIN,2013,8.2,7.4,45328.57421875
France,FRA,2013,5.7,5,42816.26953125
Germany,DEU,2013,6.4,5.5,49954.171875
Greece,GRC,2013,5,5.3,27810.912109375
Hungary,HUN,2013,5.7,5.3,25343.712890625
Iceland,ISL,2013,7.7,7,50168.6875
Ireland,IRL,2013,6.9,6.4,53435.640625
Italy,ITA,2013,5.8,5.7,40268.11328125
Luxembourg,LUX,2013,6.1,5.5,113050.6640625
Netherlands,NLD,2013,6.6,6.9,51640.078125
Norway,NOR,2013,7.5,7.3,61878.9765625
Poland,POL,2013,5.2,6,25759.33984375
Portugal,PRT,2013,5.4,5.3,30042.890625
Slovakia,SVK,2013,4.4,5.8,26623.349609375
Slovenia,SVN,2013,5.5,6.5,32234.025390625
Spain,ESP,2013,5.4,6.3,35371.73828125
Sweden,SWE,2013,7.1,6.9,48462.16015625
Switzerland,CHE,2013,7.4,6.4,66877.1640625
United Kingdom,GBR,2013,6.4,6.1,43271.828125
