Macrotrends Data Download

India Suicide Rate 2000-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Total, Male, Female
date, Total, Male, Female
2000-12-31,17,17.5,16.4
2001-12-31,16.6,17.2,15.9
2002-12-31,16.1,17.1,15
2003-12-31,15.3,16.6,14
2004-12-31,15.2,16.6,13.6
2005-12-31,15.5,17.1,13.7
2006-12-31,15.6,17.6,13.5
2007-12-31,15.3,17.4,12.9
2008-12-31,15.1,17.3,12.6
2009-12-31,14.5,16.5,12.4
2010-12-31,14.6,16.3,12.9
2011-12-31,14.7,16.3,12.8
2012-12-31,14.3,16.2,12.2
2013-12-31,13.7,15.5,11.8
2014-12-31,12.8,14.4,11
2015-12-31,12.3,13.7,10.8
2016-12-31,12.1,13.4,10.6
2017-12-31,12,13.4,10.5
2018-12-31,12.6,14,11
2019-12-31,12.7,14.1,11.1
