date, Total, Male, Female
31/12/00,17,17.5,16.4
31/12/01,16.6,17.2,15.9
31/12/02,16.1,17.1,15
31/12/03,15.3,16.6,14
31/12/04,15.2,16.6,13.6
31/12/05,15.5,17.1,13.7
31/12/06,15.6,17.6,13.5
31/12/07,15.3,17.4,12.9
31/12/08,15.1,17.3,12.6
31/12/09,14.5,16.5,12.4
31/12/10,14.6,16.3,12.9
31/12/11,14.7,16.3,12.8
31/12/12,14.3,16.2,12.2
31/12/13,13.7,15.5,11.8
31/12/14,12.8,14.4,11
31/12/15,12.3,13.7,10.8
31/12/16,12.1,13.4,10.6
31/12/17,12,13.4,10.5
31/12/18,12.6,14,11
31/12/19,12.7,14.1,11.1
