"","State","Total"
"1","A & N Islands",1.21
"2","Andhra Pradesh",119.87
"3","Arunachal Pradesh",0.99
"4","Assam",25.39
"5","Bihar",6.81
"6","Chandigarh",0.77
"7","Chhattisgarh",44.53
"8","D & N Haveli",0.51
"9","Daman & Diu",0.21
"10","Delhi (Ut)",12.43
"11","Goa",2.57
"12","Gujarat",48.76
"13","Haryana",21.68
"14","Himachal Pradesh",3.92
"15","Jammu & Kashmir",2.19
"16","Jharkhand",7.33
"17","Karnataka",108.19
"18","Kerala",79.4
"19","Lakshadweep",0.01
"20","Madhya Pradesh",66.48
"21","Maharashtra",132.8
"22","Manipur",0.31
"23","Meghalaya",0.8
"24","Mizoram",0.62
"25","Nagaland",0.26
"26","Odisha",39.35
"27","Puducherry",4.78
"28","Punjab",6.84
"29","Rajasthan",37.57
"30","Sikkim",1.42
"31","Tamil Nadu",120.64
"32","Tripura",6.78
"33","Uttar Pradesh",34.38
"34","Uttarakhand",2.74
"35","West Bengal",125.36
